ProductID,SKU,ProductName,Category,Supplier,Warehouse,Quantity,ReorderLevel,UnitCost,SellingPrice,LastRestockDate,Status
1001,SKU-0001,Safety Gloves 1,Furniture,Global Traders,Warehouse-D,160,23,279.88,423.57,2025-01-31,Active
1002,SKU-0002,Hammer 2,Furniture,TechSource,Warehouse-D,619,19,1.1,2.73,2025-05-31,Active
1003,SKU-0003,Notebook 3,Electronics,PaperPlus,Warehouse-D,152,26,158.6,297.05,2025-11-07,Active
1004,SKU-0004,Coffee Beans 4,Electronics,HealthSupply,Warehouse-B,773,56,318.54,751.53,2025-02-07,Active
1005,SKU-0005,Coffee Beans 5,Electronics,SafeWear,Warehouse-B,616,98,427.55,792.53,2025-04-12,Active
1006,SKU-0006,Desk Lamp 6,Electronics,Global Traders,Warehouse-D,35,58,179.72,316.03,2025-11-16,Low Stock
1007,SKU-0007,Notebook 7,Clothing,PaperPlus,Warehouse-C,829,21,67.18,162.04,2025-01-18,Active
1008,SKU-0008,First Aid Kit 8,Electronics,HealthSupply,Warehouse-A,92,44,367.81,738.33,2025-10-26,Active
1009,SKU-0009,Jacket 9,Tools,SafeWear,Warehouse-B,796,65,95.16,141.89,2025-09-05,Active
1010,SKU-0010,Printer Paper 10,Stationery,TechSource,Warehouse-E,721,13,324.83,556.78,2025-05-06,Active
1011,SKU-0011,Car Battery 11,Clothing,SafeWear,Warehouse-E,803,100,227.22,508.0,2025-09-01,Active
1012,SKU-0012,Medical Mask 12,Stationery,BuildPro,Warehouse-B,132,65,453.37,724.9,2026-02-24,Active
1013,SKU-0013,USB Hub 13,Electronics,SafeWear,Warehouse-B,201,43,407.37,721.98,2026-04-21,Active
1014,SKU-0014,Mechanical Keyboard 14,Automotive,Global Traders,Warehouse-E,256,97,12.32,28.35,2025-10-17,Active
1015,SKU-0015,Headphones 15,Medical,PaperPlus,Warehouse-B,166,85,90.03,184.5,2025-01-14,Active
1016,SKU-0016,Hammer 16,Food,PaperPlus,Warehouse-D,167,28,323.14,635.13,2025-04-23,Active
1017,SKU-0017,Desk Lamp 17,Clothing,PaperPlus,Warehouse-B,528,29,285.53,526.47,2025-11-22,Active
1018,SKU-0018,Speaker 18,Clothing,HealthSupply,Warehouse-A,111,32,13.21,20.99,2025-02-21,Active
1019,SKU-0019,First Aid Kit 19,Clothing,TechSource,Warehouse-A,75,93,208.84,270.04,2026-03-28,Low Stock
1020,SKU-0020,Car Battery 20,Food,Global Traders,Warehouse-D,19,61,337.64,426.18,2025-11-06,Low Stock
1021,SKU-0021,Notebook 21,Clothing,SafeWear,Warehouse-C,860,45,314.58,700.57,2025-06-15,Active
1022,SKU-0022,Medical Mask 22,Tools,Global Traders,Warehouse-C,178,60,268.02,607.61,2025-06-29,Active
1023,SKU-0023,Coffee Beans 23,Tools,BuildPro,Warehouse-C,375,69,484.31,843.24,2025-04-16,Active
1024,SKU-0024,Printer Paper 24,Medical,Global Traders,Warehouse-E,61,34,440.02,858.24,2026-03-29,Active
1025,SKU-0025,USB Hub 25,Automotive,HealthSupply,Warehouse-A,643,26,345.8,677.71,2026-03-16,Active
1026,SKU-0026,Tool Box 26,Furniture,HealthSupply,Warehouse-C,934,54,110.37,160.3,2025-09-14,Active
1027,SKU-0027,Monitor 27,Clothing,FurniCo,Warehouse-E,275,50,276.03,506.45,2025-03-15,Active
1028,SKU-0028,Car Battery 28,Clothing,AutoParts Ltd,Warehouse-E,267,54,343.7,531.55,2025-03-13,Active
1029,SKU-0029,First Aid Kit 29,Tools,PaperPlus,Warehouse-E,759,38,418.97,810.7,2026-01-01,Active
1030,SKU-0030,Safety Gloves 30,Stationery,TechSource,Warehouse-A,826,90,353.5,538.98,2025-05-04,Active
1031,SKU-0031,Monitor 31,Automotive,FurniCo,Warehouse-C,126,99,424.06,1015.93,2025-01-05,Active
1032,SKU-0032,Office Chair 32,Tools,Global Traders,Warehouse-E,884,57,374.48,570.97,2025-11-24,Active
